name,count
BB Spiel und Freizeit GmbH,2
BCBGMAXAZRIA,3
BCN - Banque Cantonale Neuchâteloise,4
BCV,27
BD Gérance SA,2
BDO AG,5
BDWM Transport AG,2
BEAT Fitness,3
BEKB / BCBE,12
BELLA MIDAS Hair Extensions | Professionelle Haarverlängerung & Haarverdichtung,3
BELOTTI OtticaUdito,3
BELPIEDE podiatry in Zurich | Paola Piciulo-Cannavacciuolo,2
BENU Apotheke Baden Bahnhof,2
BENU Bahnhof Luzern,3
BENU Pharmacie Bornand,3
BENU Pharmacie Centrale Marché,2
BENU Pharmacie Etoile,2
BENU Pharmacie Fribourg Centre,2
BENU Pharmacie Gare CFF,2
BENU Pharmacie La Galerie,3
BENU Pharmacie Serpent,2
BENU Pharmacie St-Pierre,2
BERNINA Lausanne,3
BEST WESTERN BERN HOTEL,5
BEST WESTERN Hotel Bristol Bern,3
BETTERHOMES (Schweiz) AG,2
BF Applications (Schweiz) GmbH,2
BFG BARONE Finance GmbH,2
BFI AG Büro Für Immobilien,2
BG Café,3
BGC Broker Global Conseil AG,2
BHS Geschäftshaus AG,2
"BIG AQUARIUM - Aquaristik, Aquarium, Acryl-Aquarien, Acrylflächen, Acrylbehälter",3
BIK Schlüsselfund Service AG,5
BIS Tower Building,2
BKW ISP AG,3
BLACKOUT,9
BLANCHISSERIE ET PRESSING DU CYGNE,2
BLS Reisezentrum,12
BLS Verkaufsstelle,2
BLUE DOG Men,3
BLUE DOG Women,5
BLUE LEMON AG,5
BO-Boutique,2
BODUM STORE,2
BOLERO Restaurante,2
BONITA,42
BOSS Menswear Shop,26
BOSS Outlet,2
BOSS Shop,3
BOSS Store,5
BOSS Womenswear Shop,7
BOTTICELLI - rooftop restaurant,4
BOUTIQUE TARGA,2
BOVET TISSUS SA,2
BP,26
BS Bank Schaffhausen,2
BS Immobilien & Finanzgesellschaft AG,2
BSA Beauty Source Academy,2
BSB Basel School of Business GmbH,2
BSI SA,5
BSZ Immobilien AG,2
BSZ Sanitär Zug,2
BT Barlocchi Treuhand,2
BTA First Travel AG,2
BUnterwäsche,2
BVLGARI,2
BVS Business School,3
BYHO,2
BaanSabai Traditional Thai Massage,2
Babacool Fashion,2
Babeejoy Playland Café,2
Babla Parrucchieri Sagl,2
Baby Promotion,2
Babylon SA,2
Baccanale,2
"Baccarat Hotel & Residences Global Licensing (Swiss), GmbH",3
"Bachmann Peter, Praxis für Osteopathie",2
BackWerk,3
Backstage Luzern,4
Backwerk,2
Baden,2
"Baden, AZ Hochhaus",2
"Baden, Bahnhof Ost",2
"Baden, Bahnhof West",2
"Baden, Grand Casino",2
"Baden, Postautostation",2
"Baden, Trafo",2
Bader Coiffure,3
Baechler,2
Baechler Teinturiers,2
Baechler Textilpflege,3
"Bafag, Bau- und Finanzierungs-AG.",2
Bagagerie Shop Centre commercial,2
Bagatt Milano,3
Bagel on the Way,3
Bahnhof,5
Bahnhof Affoltern,2
Bahnhof Apotheke,6
Bahnhof Apotheke Drogerie,2
Bahnhof Apotheke Drogerie Parfümerie,2
Bahnhof Baden,2
Bahnhof Basel SBB,2
Bahnhof Enge,6
Bahnhof Enge/Bederstr.,2
Bahnhof Garage A. Aiello,2
Bahnhof Garage Leo Schnyder AG,2
Bahnhof Imbiss Döner,2
Bahnhof Luzern,3
Bahnhof Oerlikon,5
Bahnhof Oerlikon Nord,4
Bahnhof SBB,2
Bahnhof Solothurn,2
Bahnhof Süd,3
Bahnhof Wil,2
Bahnhof-Parkhaus Winterthur AG,2
Bahnhof-Parking Kurzparker,2
Bahnhofapotheke P. Bolliger AG,3
Bahnhofapotheke Thun,2
Bahnhofparking,3
Bahnhofparking P1+P2,2
Bahnhofparking P3 University,2
Bahnhofplatz/HB,5
Bahnhofquai/HB,4
Bahnhofstrasse/HB,2
Bahnhöfli - urban food station,4
Bahnreisezentrum / Bahnhof Bremgarten,2
Bakeria Shops GmbH,2
Bakeries + D. F. Burkhard,2
Bakery Conditorei Stocker,3
Bakery Ueli der Beck,2
Bakery pastry shop Café Brötie,2
Bakery pastry shop Sterchi AG,2
Bal s Take Away,2
Balauge SA,3
Balboa Bar & Gym,2
Baldegger Automobile AG,2
Baldegger Automobile Ag,2
Baldinger Reisen AG,2
Baldora SA,5
Balkan Express,2
"Balkan Grill, Bosnjak Enes",2
Ballenhaus AG,2
Ballerstedt R.,3
Ballett Shop Bern Dance Shop,3
Ballon Rouge,2
Bally,2
Bally Schuhmuseum,2
Bally Store,9
Balmelli Sport,3
Balmer-Etienne AG,2
Baloise Bank SoBa,5
Baloise Bank SoBa Private Banking,2
Bam Bou by Thomas,3
"Bambi, Rudolf Baumgartner, Fachgeschäft für Spielwaren, Modellbahnen, Feuerwerk,",2
Bamboo Coiffure,4
Bamee Bar,3
Banca Cler,3
Banca Cler SA,4
Banca Coop,12
Banca Del Sempione,4
Banca Dello Stato del Cantone Ticino,7
Banca Migros,3
Banca Popolare di Sondrio,7
Banca Popolare di Sondrio (SUISSE),2
Banca Popolare di Sondrio (Suisse) S.A.,3
Banca Privata Edmond de Rothschild Lugano S.A.,2
Banca Raiffeisen Lugano,3
Banca Sella,2
Banca Zarattini & Co.,2
BancaStato,2
Bancomat BCF,4
Bancomat BCN Place Pury,3
Bancomat BCN Rue de l'Hôpital,3
Bancomat Graubündner Kantonalbank Postplatz,2
Bancomat Raiffeisen,7
Bancomat Raiffeisen Bank,35
Bancomat Schaffhauser Kantonalbank,6
Bangerter Bäckerei- Konditorei AG,2
Bangerter Unternehmensberatung,3
Bank CIC SA,2
Bank Cler AG,74
Bank Coop,3
Bank EEK AG,5
Bank EKI Genossenschaft,2
Bank J. Safra Sarasin AG,2
Bank J. Safra Sarasin AG (Head Office),2
Bank Julius Baer & Co. Ltd.,3
Bank Julius Bär & Co. AG,8
Bank Linth LLB AG,5
Bank SLM AG,2
Bank Sal. Oppenheim jr. & Cie AG,2
Bank Sarasin & Cie AG,3
Bank Thaler AG,2
Bank Thalwil Cooperative,2
Bank Thalwil Genossenschaft,4
Bank Vontobel AG,6
Bankautomat UBS,2
Bankomat,4
Bankomat BEKB,2
Bankomat Bekb,2
Bankomat Coop,2
Bankomat Coopbank Bahnhof SBB,2
Bankomat Migrosbank,2
Bankomat Raiffeisen Bank,30
Banny Thai Restaurant,3
Banque Cantonale de Fribourg,4
Banque Cantonale de Fribourg - Succursale de la Rue de Romont,3
Banque Cantonale de Genève,3
Banque Cantonale du Valais,5
Banque Cler SA,18
Banque Coop,2
Banque Internationale à Luxembourg (Suisse) SA,2
Banque Julius Baer & Cie SA,2
Banque Lombard Odier & Cie SA,2
Banque Migros,46
Banque Migros Lausanne,2
Banque Privée Edmond de Rothschild S.A.,4
Banque Raiffeisen Bulle,2
Banque Raiffeisen Mont-Blanc,3
Banque Raiffeisen Romont,2
Banque Raiffeisen Sion et Région,2
Banque Raiffeisen St-Imier,2
Banque Raiffeisen de Chasseral,2
"Banque Raiffeisen de la Versoix, Agence Mont-Blanc",3
Banque SYZ & CO SA,2
Banque WIR Soc. coopérative,3
Baptistengemeinde Schaffhausen,2
Bar & Restaurant Casanova,2
Bar Apollo,2
Bar Au Moka,3
Bar Au Métro,3
Bar Caffé La Chicchera Di Jesus Tellez Rubio,2
